location,Non Agriculture Informality,iso_code
Albania,33.1,ALB
Afghanistan,82.8502625,AFG
Angola,75.61428449,AGO
Argentina,47,ARG
Armenia,26.5,ARM
Australia,13.35153842,AUS
Austria,8.9,AUT
Azerbaijan,38.45394436,AZE
Bahrain,32.98409188,BHR
Bangladesh,82,BGD
Barbados,22.9770796,BRB
Belarus,30.37246447,BLR
Belgium,12.8,BEL
Belize,55.87779335,BLZ
Benin,90.6,BEN
Bhutan,54.06146342,BTN
Bolivia,75.6,BOL
Bosnia and Herzegovina,13.2,BIH
Botswana,55.1,BWA
Brazil,42.3,BRA
Brunei,32.9,BRN
Bulgaria,13.6,BGR
Burkina Faso,88.4,BFA
Burundi,88.94369001,BDI
Cambodia,89.8,KHM
Cameroon,80.69169681,CMR
Canada,10.41084071,CAN
Cape Verde,46.8,CPV
Chile,39.3,CHL
Colombia,55.4,COL
Costa Rica,37.4,CRI
Cote d'Ivoire,87.7,CIV
Croatia,10.8,HRV
Cyprus,14.1,CYP
Czechia,9.1,CZE
Dominican Republic,52.6,DOM
Denmark,10.8,DNK
El Salvador,63.1,SLV
Ecuador,50.4,ECU
Egypt,59.05410232,EGY
Estonia,18.4107394,EST
Eswatini,75.20589866,SWZ
Ethiopia,82.01685379,ETH
Fiji,46.47746307,FJI
Finland,5.1,FIN
France,8.9,FRA
Gambia,68.4,GMB
Georgia,24.49880093,GEO
Germany,10.1,DEU
Ghana,82.6,GHA
Greece,25.5,GRC
Guatemala,72.7,GTM
Guyana,58.54773949,GUY
Haiti,70.17058892,HTI
Honduras,72.7,HND
Hungary,10.5,HUN
Iceland,4.8,ISL
India,78.1,IND
Italy,18.3,ITA
Indonesia,80.2,IDN
Iran,44.17621698,IRN
Ireland,11.1,IRL
Jamaica,43.13411453,JAM
Japan,16.3,JPN
Jordan,43,JOR
Kazakhstan,36.20300122,KAZ
Kyrgyzstan,42.1,KGZ
Laos,78.5,LAO
Latvia,11.2,LVA
Lithuania,9.8,LTU
Luxembourg,1,LUX
Liberia,77.5,LBR
Madagascar,81.42609891,MDG
Malaysia,45.62721938,MYS
Maldives,46.61959079,MDV
Mali,86.4,MLI
Marshall Islands,92.91524196,MHL
Mauritius,31.15447239,MUS
Mauritania,79.68736117,MRT
Mexico,53.2,MEX
Moldova,13.7,MDA
Mongolia,35.6,MNG
Montenegro,22.26907413,MNE
Mozambique,88.06074366,MOZ
Myanmar,82.3,MMR
Namibia,61.1,NAM
Nepal,80.4,NPL
Netherlands,9.2,NLD
New Zealand,16.59834754,NZL
Nicaragua,68.6,NIC
Niger,85.1,NER
Nigeria,89,NGA
Norway,6.9,NOR
Panama,46,PAN
Oman,35.0621511,OMN
Pakistan,70.8,PAK
Papua New Guinea,68.80286983,PNG
Paraguay,64.4,PRY
Peru,59.1,PER
Philippines,55.92806334,PHL
Poland,31.6,POL
Portugal,10.5,PRT
Qatar,24.68103726,QAT
Romania,11.1,ROU
Russia,35.6,RUS
Rwanda,75.80430697,RWA
Samoa,33.8,WSM
Serbia,15.3,SRB
Senegal,87.20832591,SEN
Seychelles,28.58580656,SYC
Sierra Leone,86,SLE
Singapore,4.94001956,SGP
Slovakia,16.5,SVK
Slovenia,4.1,SVN
South Africa,34,ZAF
South Korea,28.8,KOR
Spain,26.8,ESP
Sri Lanka,62.2,LKA
Sudan,80.93344012,SDN
Sweden,8.3,SWE
Switzerland,10.1,CHE
Tajikistan,70.5,TJK
Tanzania,81.05205027,TZA
Thailand,31.60587723,THA
Timor Leste,54,TLS
Togo,90,TGO
Tunisia,48.34939354,TUN
Turkey,21.9,TUR
Uganda,82.7961625,UGA
Ukraine,27.43623663,UKR
United Kingdom,13.4,GBR
United States,18.3,USA
Uruguay,24.1,URY
Uzbekistan,53.36715425,UZB
Vanuatu,64.50503012,VUT
Venezuela,38.3,VEN
Vietnam,57.9,VNM
Yemen,69,YEM
Zambia,80.65288931,ZMB
Zimbabwe,77.01029551,ZWE